"quizcode","quizname","qid","question"
"w13.1","W13-1: Wrap-up","q21","In casual conversation, people don't follow any particular rules of sentence structure."
"w13.1","W13-1: Wrap-up","q22","The ""proper"" grammar that you learn in school helps make language more logical and less redundant."
"w13.1","W13-1: Wrap-up","q23","The rules of natural language are simpler than the rules of ""proper"" or written language."
"w13.1","W13-1: Wrap-up","q24","Some languages have strict rules of grammar, while others are less rigid."
"w13.1","W13-1: Wrap-up","q25","Languages change over time to become less formal."
"w13.1","W13-1: Wrap-up","q26","Some languages express certain concepts more efficiently than others."
"w13.1","W13-1: Wrap-up","q27","Although languages have different words and structures, they can all express ideas equally well."
"w13.1","W13-1: Wrap-up","q28","Some languages might lack a word for a particular concept, and thus be unable to express that concept."
"w13.1","W13-1: Wrap-up","q29","The English spelling system would be better if it were more ""phonetic"": that is, if it more closely represented the sounds of the words."
"w13.1","W13-1: Wrap-up","q30","English has some unique sounds that aren't used in other languages."
"w13.1","W13-1: Wrap-up","q31","There are short pauses between words in spoken sentences, just like there are spaces between written words."
"w13.1","W13-1: Wrap-up","q32","American English is more slurred together than British English."
"w13.1","W13-1: Wrap-up","q33","Children learn the meanings of words by gradually strengthening the association between a certain sound and a certain thing in the world. Each time they hear a word paired with something they're seeing at the same time, the association gets stronger."
"w13.1","W13-1: Wrap-up","q34","Children need to learn a lot of words before they can learn anything about how to put words together in sentences."
"w13.1","W13-1: Wrap-up","q35","Children take longer to learn complex inflectional systems (like verb conjugation in Italian) than simple ones (like verb conjugation in English)."
"w13.1","W13-1: Wrap-up","q36","1-year-olds can use sentence structure to guess the meaning of a new word."
"w13.1","W13-1: Wrap-up","q37","Although languages around the world look very different, there are some universal properties that all languages share."
"w13.1","W13-1: Wrap-up","q38","Differences between languages can usually be explained by cultural differences."
"w13.1","W13-1: Wrap-up","q39","It is inevitable that languages change over time."
"w13.1","W13-1: Wrap-up","q40","If people speaking a certain language had no contact with any other languages (say, if they lived on an isolated island), their language would never change."
"w13.1","W13-1: Wrap-up","q41","Children's errors are almost always consistent with the grammar of some other language."
"w13.1","W13-1: Wrap-up","q42","Some of children's errors are due to physical limitations or limited resources, rather than the wrong grammar."
"w2.2","W2-2M: Language as instinct","q1","Language as instinct:"
"w2.2","W2-2M: Language as instinct","q2","What's still unconvincing or confusing?"
"w2.2","W2-2W: Language as instinct","q1","Language as instinct:"
"w2.2","W2-2W: Language as instinct","q2","What's still unconvincing or confusing?"
"w2.3","W2-3M: Which are real language","q1","Regional or minority dialects (e.g. African American English, southern English, Cockney English)"
"w2.3","W2-3M: Which are real language","q2","Pidgins (e.g. Hawaiian pidgin)"
"w2.3","W2-3M: Which are real language","q3","Creoles (e.g. Louisiana Creole, Haitian Creole, Hawaiian Creole)"
"w2.3","W2-3M: Which are real language","q4","Sign languages (e.g. American Sign Language)"
"w2.3","W2-3M: Which are real language","q5","Homesign (signs that deaf children of hearing parents invent to communicate with their families)"
"w2.3","W2-3W: Which are real language","q1","Regional or minority dialects (e.g. African American English, southern English, Cockney English)"
"w2.3","W2-3W: Which are real language","q2","Pidgins (e.g. Hawaiian pidgin)"
"w2.3","W2-3W: Which are real language","q3","Creoles (e.g. Louisiana Creole, Haitian Creole, Hawaiian Creole)"
"w2.3","W2-3W: Which are real language","q4","Sign languages (e.g. American Sign Language)"
"w2.3","W2-3W: Which are real language","q5","Homesign (signs that deaf children of hearing parents invent to communicate with their families)"
"w2.4","W2-4M: Inductive inference","q1","Most dogs are adorable. Jasper is a dog. Therefore, Jasper is probably adorable."
"w2.4","W2-4M: Inductive inference","q2","John, Bob, and Harry are men. John, Bob and Harry have legs. Therefore, most men probably have legs."
"w2.4","W2-4M: Inductive inference","q3","In a survey of 1000 American adults, 64% of women said they liked asparagus, while 73% of men said they liked it. Therefore, American men like asparagus more than American women."
"w2.4","W2-4M: Inductive inference","q4","Previous studies suggest that children can learn any language, as long as they are exposed to it enough before the age of 5 years or so. Tommy is 2 years old, and his parents are speaking to him equally often in English and Mandarin. Therefore, we expect Tommy to learn both English and Mandarin."
"w2.4","W2-4W: Inductive inference","q1","Most dogs are adorable. Jasper is a dog. Therefore, Jasper is probably adorable."
"w2.4","W2-4W: Inductive inference","q2","John, Bob, and Harry are men. John, Bob and Harry have legs. Therefore, most men probably have legs."
"w2.4","W2-4W: Inductive inference","q3","In a survey of 1000 American adults, 64% of women said they liked asparagus, while 73% of men said they liked it. Therefore, American men like asparagus more than American women."
"w2.4","W2-4W: Inductive inference","q4","Previous studies suggest that children can learn any language, as long as they are exposed to it enough before the age of 5 years or so. Tommy is 2 years old, and his parents are speaking to him equally often in English and Mandarin. Therefore, we expect Tommy to learn both English and Mandarin."
"w3.1","W3-1M: Grammar","q1","In casual conversation, people don't follow any particular rules of sentence structure."
"w3.1","W3-1M: Grammar","q2","The ""proper"" grammar that you learn in school helps make language more logical and less redundant."
"w3.1","W3-1M: Grammar","q3","The rules of natural language are simpler than the rules of ""proper"" or written language."
"w3.1","W3-1M: Grammar","q4","Some languages have strict rules of grammar, while others are less rigid."
"w3.1","W3-1M: Grammar","q5","Everyone would understand each other more easily if we all followed the rules of grammar."
"w3.1","W3-1M: Grammar","q6","Languages change over time to become less formal."
"w3.1","W3-1M: Grammar","q7","English has changed over time, so we don't speak Shakespearean English anymore. Overall, this is..."
"w3.1","W3-1W: Grammar","q1","In casual conversation, people don't follow any particular rules of sentence structure."
"w3.1","W3-1W: Grammar","q2","The ""proper"" grammar that you learn in school helps make language more logical and less redundant."
"w3.1","W3-1W: Grammar","q3","The rules of natural language are simpler than the rules of ""proper"" or written language."
"w3.1","W3-1W: Grammar","q4","Some languages have strict rules of grammar, while others are less rigid."
"w3.1","W3-1W: Grammar","q5","Everyone would understand each other more easily if we all followed the rules of grammar."
"w3.1","W3-1W: Grammar","q6","Languages change over time to become less formal."
"w3.1","W3-1W: Grammar","q7","English has changed over time, so we don't speak Shakespearean English anymore. Overall, this is..."
"w3.2","W3-2M: Acceptability","q1","For each of the following sentences, decide whether it is an acceptable sentence of English. If so, write ""ok"". If not, explain as best you can why not. 
""Susie wondered who she should go to the dance with."""
"w3.2","W3-2M: Acceptability","q2","""John wants that his roommate do the dishes for once."""
"w3.2","W3-2M: Acceptability","q3","""Our mission is to boldly go where no man has gone before."""
"w3.2","W3-2M: Acceptability","q4","""Ryan's mom wanted him to call herself every day."""
"w3.2","W3-2M: Acceptability","q5","""If you want to sell the house, it needs painted."""
"w3.2","W3-2W: Acceptability","q1","For each of the following sentences, decide whether it is an acceptable sentence of English. If so, write ""ok"". If not, explain as best you can why not. 
""Susie wondered who she should go to the dance with."""
"w3.2","W3-2W: Acceptability","q2","""John wants that his roommate do the dishes for once."""
"w3.2","W3-2W: Acceptability","q3","""Our mission is to boldly go where no man has gone before."""
"w3.2","W3-2W: Acceptability","q4","""Ryan's mom wanted him to call herself every day."""
"w3.2","W3-2W: Acceptability","q5","""If you want to sell the house, it needs painted."""
"w3.3","W3-3M: Descriptive or prescrip","q1","Indicate whether each of the following statements is a DESCRIPTIVE or a PRESCRIPTIVE rule about English.Don't use double negatives (e.g. ""I ain't got no reason to go"") because they're illogical. "
"w3.3","W3-3M: Descriptive or prescrip","q2","People often use passives to avoid saying who did the action, as in ""The victim was drugged."""
"w3.3","W3-3M: Descriptive or prescrip","q3","It's ungrammatical to say ""between you and I"", because ""I"" is the object of the preposition ""between"". The correct form is ""between you and me"". "
"w3.3","W3-3M: Descriptive or prescrip","q4","""Their"", ""they're"", and ""there"" are three different words, so they should be spelled differently. "
"w3.3","W3-3M: Descriptive or prescrip","q5","People often say, ""I could care less,"" when what they mean is that they don't care at all, and thus could NOT care less. "
"w3.3","W3-3W: Descriptive or prescrip","q1","Indicate whether each of the following statements is a DESCRIPTIVE or a PRESCRIPTIVE rule about English.Don't use double negatives (e.g. ""I ain't got no reason to go"") because they're illogical. "
"w3.3","W3-3W: Descriptive or prescrip","q2","People often use passives to avoid saying who did the action, as in ""The victim was drugged."""
"w3.3","W3-3W: Descriptive or prescrip","q3","It's ungrammatical to say ""between you and I"", because ""I"" is the object of the preposition ""between"". The correct form is ""between you and me"". "
"w3.3","W3-3W: Descriptive or prescrip","q4","""Their"", ""they're"", and ""there"" are three different words, so they should be spelled differently. "
"w3.3","W3-3W: Descriptive or prescrip","q5","People often say, ""I could care less,"" when what they mean is that they don't care at all, and thus could NOT care less. "
"w3.4","W3-4M: Grammar, again","q1","In casual conversation, people don't follow any particular rules of sentence structure."
"w3.4","W3-4M: Grammar, again","q2","The ""proper"" grammar that you learn in school helps make language more logical and less redundant."
"w3.4","W3-4M: Grammar, again","q3","The rules of natural language are simpler than the rules of ""proper"" or written language."
"w3.4","W3-4M: Grammar, again","q4","Some languages have strict rules of grammar, while others are less rigid."
"w3.4","W3-4M: Grammar, again","q5","Everyone would understand each other more easily if we all followed the rules of grammar."
"w3.4","W3-4W: Grammar, again","q1","In casual conversation, people don't follow any particular rules of sentence structure."
"w3.4","W3-4W: Grammar, again","q2","The ""proper"" grammar that you learn in school helps make language more logical and less redundant."
"w3.4","W3-4W: Grammar, again","q3","The rules of natural language are simpler than the rules of ""proper"" or written language."
"w3.4","W3-4W: Grammar, again","q4","Some languages have strict rules of grammar, while others are less rigid."
"w3.4","W3-4W: Grammar, again","q5","Everyone would understand each other more easily if we all followed the rules of grammar."
"w3.5","W3-5W: Linguistic determinism","q1","Some languages express certain concepts more efficiently than others."
"w3.5","W3-5W: Linguistic determinism","q2","Some languages might lack a word for a particular concept, and thus be unable to express that concept."
"w3.5","W3-5W: Linguistic determinism","q3","Although languages have different words and structures, they can all express ideas equally well."
"w3.5","W3-5W: Linguistic determinism","q4","It's possible to have a thought that you can't express in words."
"w3.5","W3-5W: Linguistic determinism","q5","People from different cultures tend to divide up the world into different categories."
"w4.1","W4-1M: Sounds of language","q1","The English spelling system would be better if it were more ""phonetic"": that is, if it more closely represented the sounds of the words."
"w4.1","W4-1M: Sounds of language","q2","Most languages (unlike English) are phonetic: they're pronounced how they're written."
"w4.1","W4-1M: Sounds of language","q3","English has some unique sounds that aren't used in other languages."
"w4.1","W4-1M: Sounds of language","q4","Some languages are inherently more pleasant sounding than others."
"w4.1","W4-1M: Sounds of language","q5","There are short pauses between words in spoken sentences, just like there are spaces between written words."
"w4.1","W4-1M: Sounds of language","q6","American English is more slurred together than British English."
"w4.1","W4-1W: Sounds of language","q1","The English spelling system would be better if it were more ""phonetic"": that is, if it more closely represented the sounds of the words."
"w4.1","W4-1W: Sounds of language","q2","Most languages (unlike English) are phonetic: they're pronounced how they're written."
"w4.1","W4-1W: Sounds of language","q3","English has some unique sounds that aren't used in other languages."
"w4.1","W4-1W: Sounds of language","q4","Some languages are inherently more pleasant sounding than others."
"w4.1","W4-1W: Sounds of language","q5","There are short pauses between words in spoken sentences, just like there are spaces between written words."
"w4.1","W4-1W: Sounds of language","q6","American English is more slurred together than British English."
"w4.2","W4-2M: Phonology","q1","""Striking"": How many syllables?"
"w4.2","W4-2M: Phonology","q2","""Striking"": How many vowels? (By ""vowels"" I mean vowel sounds, not letters representing vowels.)"
"w4.2","W4-2M: Phonology","q3","""Striking"": How many consonants? (By ""consonants"" I mean consonant sounds, not letters representing consonants.)"
"w4.2","W4-2M: Phonology","q4","""Examine"": How many syllables?"
"w4.2","W4-2M: Phonology","q5","""Examine"": How many vowels?"
"w4.2","W4-2M: Phonology","q6","""Examine"": How many consonants?"
"w4.2","W4-2M: Phonology","q7","About how many different vowel sounds does English have?"
"w4.2","W4-2M: Phonology","q8","Do you pronounce ""writer"" and ""rider"" the same? If not, what's different between the two?"
"w4.2","W4-2W: Phonology","q1","""Striking"": How many syllables?"
"w4.2","W4-2W: Phonology","q2","""Striking"": How many vowels? (By ""vowels"" I mean vowel sounds, not letters representing vowels.)"
"w4.2","W4-2W: Phonology","q3","""Striking"": How many consonants? (By ""consonants"" I mean consonant sounds, not letters representing consonants.)"
"w4.2","W4-2W: Phonology","q4","""Examine"": How many syllables?"
"w4.2","W4-2W: Phonology","q5","""Examine"": How many vowels?"
"w4.2","W4-2W: Phonology","q6","""Examine"": How many consonants?"
"w4.2","W4-2W: Phonology","q7","About how many different vowel sounds does English have?"
"w4.2","W4-2W: Phonology","q8","Do you pronounce ""writer"" and ""rider"" the same? If not, what's different between the two?"
"w4.3","W4-3M: Phonetics","q1","[k__t]"
"w4.3","W4-3M: Phonetics","q2","[k__ld]"
"w4.3","W4-3M: Phonetics","q3","[__t_]"
"w4.3","W4-3M: Phonetics","q4","[klo__]"
"w4.3","W4-3M: Phonetics","q5","[b_ks]"
"w4.3","W4-3M: Phonetics","q6","[_ule_s]"
"w4.3","W4-3W: Phonetics","q1","[k__t]"
"w4.3","W4-3W: Phonetics","q2","[k__ld]"
"w4.3","W4-3W: Phonetics","q3","[__t_]"
"w4.3","W4-3W: Phonetics","q4","[klo__]"
"w4.3","W4-3W: Phonetics","q5","[b_ks]"
"w4.3","W4-3W: Phonetics","q6","[_ule_s]"
"w6.1","W6-1: Word learning","q1","Children learn the meanings of words by gradually strengthening the association between a certain sound and a certain thing in the world. Each time they hear a word paired with something they're seeing at the same time, the association gets stronger."
"w6.1","W6-1: Word learning","q2","Motherese (or ""baby talk"") is necessary to help infants learn their first language."
"w6.1","W6-1: Word learning","q3","Parents should avoid speaking to their babies in ""motherese"" or ""baby talk"", because it slows down language development."
"w6.1","W6-1: Word learning","q4","Children need to learn a lot of words before they can learn anything about how to put words together in sentences."
"w6.1","W6-1: Word learning","q5","Children take longer to learn complex inflectional systems (like verb conjugation in Italian) than simple ones (like verb conjugation in English)."
"w6.1","W6-1: Word learning","q6","1-year-olds can use sentence structure to guess the meaning of a new word."
"w9.1","W9-1: Crain & Thornton","q1","What is structure dependence?"
"w9.1","W9-1: Crain & Thornton","q2","If children only consider structure-dependent rules when learning the grammar of their language, how might they respond to the instruction, ""Ask Jabba if the boy who is watching Mickey Mouse is happy.""? Select all the possible responses."
"w9.1","W9-1: Crain & Thornton","q3","If children consider *any* rules, regardless of structure, when learning the grammar of their language, how might they respond to the instruction, ""Ask Jabba if the boy who is watching Mickey Mouse is happy.""? Select all the possible responses."
