quizcode,quizname,qid,topic,question,response_type,correct
w13.1,W13-1: Wrap-up,q29,sound_beliefs,"The English spelling system would be better if it were more ""phonetic"": that is, if it more closely represented the sounds of the words.",tf-scale,
w13.1,W13-1: Wrap-up,q30,sound_beliefs,English has some unique sounds that aren't used in other languages.,tf-scale,
w13.1,W13-1: Wrap-up,q31,sound_beliefs,"There are short pauses between words in spoken sentences, just like there are spaces between written words.",tf-scale,
w13.1,W13-1: Wrap-up,q32,sound_beliefs,American English is more slurred together than British English.,tf-scale,
w13.1,W13-1: Wrap-up,q33,learning,"Children learn the meanings of words by gradually strengthening the association between a certain sound and a certain thing in the world. Each time they hear a word paired with something they're seeing at the same time, the association gets stronger.",tf-scale,
w13.1,W13-1: Wrap-up,q34,learning,Children need to learn a lot of words before they can learn anything about how to put words together in sentences.,tf-scale,
w13.1,W13-1: Wrap-up,q35,learning,Children take longer to learn complex inflectional systems (like verb conjugation in Italian) than simple ones (like verb conjugation in English).,tf-scale,
w13.1,W13-1: Wrap-up,q36,learning,1-year-olds can use sentence structure to guess the meaning of a new word.,tf-scale,
w13.1,W13-1: Wrap-up,q37,universals_variation,"Although languages around the world look very different, there are some universal properties that all languages share.",tf-scale,
w13.1,W13-1: Wrap-up,q38,universals_variation,Differences between languages can usually be explained by cultural differences.,tf-scale,
w13.1,W13-1: Wrap-up,q39,universals_variation,It is inevitable that languages change over time.,tf-scale,
w13.1,W13-1: Wrap-up,q40,universals_variation,"If people speaking a certain language had no contact with any other languages (say, if they lived on an isolated island), their language would never change.",tf-scale,
w13.1,W13-1: Wrap-up,q41,learning,Children's errors are almost always consistent with the grammar of some other language.,tf-scale,
w13.1,W13-1: Wrap-up,q42,learning,"Some of children's errors are due to physical limitations or limited resources, rather than the wrong grammar.",tf-scale,
w2.2,W2-2M: Language as instinct,q1,check-in,Language as instinct:,understanding-scale,
w2.2,W2-2M: Language as instinct,q2,check-in,What's still unconvincing or confusing?,free,
w2.3,W2-3M: Which are real language,q1,languageVsCommunication,"Regional or minority dialects (e.g. African American English, southern English, Cockney English)",tf,t
w2.3,W2-3M: Which are real language,q2,languageVsCommunication,Pidgins (e.g. Hawaiian pidgin),tf,f
w2.3,W2-3M: Which are real language,q3,languageVsCommunication,"Creoles (e.g. Louisiana Creole, Haitian Creole, Hawaiian Creole)",tf,t
w2.3,W2-3M: Which are real language,q4,languageVsCommunication,Sign languages (e.g. American Sign Language),tf,t
w2.3,W2-3M: Which are real language,q5,languageVsCommunication,Homesign (signs that deaf children of hearing parents invent to communicate with their families),tf,f
w2.4,W2-4M: Inductive inference,q1,inference,"Most dogs are adorable. Jasper is a dog. Therefore, Jasper is probably adorable.",two-choice,A
w2.4,W2-4M: Inductive inference,q2,inference,"John, Bob, and Harry are men. John, Bob and Harry have legs. Therefore, most men probably have legs.",two-choice,B
w2.4,W2-4M: Inductive inference,q3,inference,"In a survey of 1000 American adults, 64% of women said they liked asparagus, while 73% of men said they liked it. Therefore, American men like asparagus more than American women.",two-choice,B
w2.4,W2-4M: Inductive inference,q4,inference,"Previous studies suggest that children can learn any language, as long as they are exposed to it enough before the age of 5 years or so. Tommy is 2 years old, and his parents are speaking to him equally often in English and Mandarin. Therefore, we expect Tommy to learn both English and Mandarin.",two-choice,A
w3.1,W3-1M: Grammar,q1,grammar_beliefs,"In casual conversation, people don't follow any particular rules of sentence structure.",tf-scale,
w3.1,W3-1M: Grammar,q2,grammar_beliefs,"The ""proper"" grammar that you learn in school helps make language more logical and less redundant.",tf-scale,
w3.1,W3-1M: Grammar,q3,grammar_beliefs,"The rules of natural language are simpler than the rules of ""proper"" or written language.",tf-scale,
w3.1,W3-1M: Grammar,q4,grammar_beliefs,"Some languages have strict rules of grammar, while others are less rigid.",tf-scale,
w3.1,W3-1M: Grammar,q5,grammar_beliefs,Everyone would understand each other more easily if we all followed the rules of grammar.,tf-scale,
w3.1,W3-1M: Grammar,q6,grammar_beliefs,Languages change over time to become less formal.,tf-scale,
w3.1,W3-1M: Grammar,q7,grammar_beliefs,"English has changed over time, so we don't speak Shakespearean English anymore. Overall, this is...",value-scale,
w3.2,W3-2M: Acceptability,q1,acceptability,"For each of the following sentences, decide whether it is an acceptable sentence of English. If so, write ""ok"". If not, explain as best you can why not. 
""Susie wondered who she should go to the dance with.""",free,
w3.2,W3-2M: Acceptability,q2,acceptability,"""John wants that his roommate do the dishes for once.""",free,
w3.2,W3-2M: Acceptability,q3,acceptability,"""Our mission is to boldly go where no man has gone before.""",free,
w3.2,W3-2M: Acceptability,q4,acceptability,"""Ryan's mom wanted him to call herself every day.""",free,
w3.2,W3-2M: Acceptability,q5,acceptability,"""If you want to sell the house, it needs painted.""",free,
w3.3,W3-3M: Descriptive or prescrip,q1,descriptive_prescriptive,"Indicate whether each of the following statements is a DESCRIPTIVE or a PRESCRIPTIVE rule about English.Don't use double negatives (e.g. ""I ain't got no reason to go"") because they're illogical.æ",two-choice,B
w3.3,W3-3M: Descriptive or prescrip,q2,descriptive_prescriptive,"People often use passives to avoid saying who did the action, as in ""The victim was drugged.""",two-choice,A
w3.3,W3-3M: Descriptive or prescrip,q3,descriptive_prescriptive,"It's ungrammatical to say ""between you and I"", because ""I"" is the object of the preposition ""between"". The correct form is ""between you and me"".æ",two-choice,B
w3.3,W3-3M: Descriptive or prescrip,q4,descriptive_prescriptive,"""Their"", ""they're"", and ""there"" are three different words, so they should be spelled differently.æ",two-choice,B
w3.3,W3-3M: Descriptive or prescrip,q5,descriptive_prescriptive,"People often say, ""I could care less,"" when what they mean is that they don't care at all, and thus could NOT care less.æ",two-choice,A
w3.4,"W3-4M: Grammar, again",q1,grammar_beliefs,"In casual conversation, people don't follow any particular rules of sentence structure.",tf-scale,
w3.4,"W3-4M: Grammar, again",q2,grammar_beliefs,"The ""proper"" grammar that you learn in school helps make language more logical and less redundant.",tf-scale,
w3.4,"W3-4M: Grammar, again",q3,grammar_beliefs,"The rules of natural language are simpler than the rules of ""proper"" or written language.",tf-scale,
w3.4,"W3-4M: Grammar, again",q4,grammar_beliefs,"Some languages have strict rules of grammar, while others are less rigid.",tf-scale,
w3.4,"W3-4M: Grammar, again",q5,grammar_beliefs,Everyone would understand each other more easily if we all followed the rules of grammar.,tf-scale,
w3.5,W3-5W: Linguistic determinism,q1,linguistic_determinism,Some languages express certain concepts more efficiently than others.,tf-scale,
w3.5,W3-5W: Linguistic determinism,q2,linguistic_determinism,"Some languages might lack a word for a particular concept, and thus be unable to express that concept.",tf-scale,
w3.5,W3-5W: Linguistic determinism,q3,linguistic_determinism,"Although languages have different words and structures, they can all express ideas equally well.",tf-scale,
w3.5,W3-5W: Linguistic determinism,q4,linguistic_determinism,It's possible to have a thought that you can't express in words.,tf-scale,
w3.5,W3-5W: Linguistic determinism,q5,linguistic_determinism,People from different cultures tend to divide up the world into different categories.,tf-scale,
w4.1,W4-1M: Sounds of language,q1,sound_beliefs,"The English spelling system would be better if it were more ""phonetic"": that is, if it more closely represented the sounds of the words.",tf-scale,
w4.1,W4-1M: Sounds of language,q2,sound_beliefs,Most languages (unlike English) are phonetic: they're pronounced how they're written.,tf-scale,
w4.1,W4-1M: Sounds of language,q3,sound_beliefs,English has some unique sounds that aren't used in other languages.,tf-scale,
w4.1,W4-1M: Sounds of language,q4,sound_beliefs,Some languages are inherently more pleasant sounding than others.,tf-scale,
w4.1,W4-1M: Sounds of language,q5,sound_beliefs,"There are short pauses between words in spoken sentences, just like there are spaces between written words.",tf-scale,
w4.1,W4-1M: Sounds of language,q6,sound_beliefs,American English is more slurred together than British English.,tf-scale,
w4.2,W4-2M: Phonology,q1,phonology,"""Striking"": How many syllables?",three-choice,A
w4.2,W4-2M: Phonology,q2,phonology,"""Striking"": How many vowels? (By ""vowels"" I mean vowel sounds, not letters representing vowels.)",three-choice,B
w4.2,W4-2M: Phonology,q3,phonology,"""Striking"": How many consonants? (By ""consonants"" I mean consonant sounds, not letters representing consonants.)",three-choice,B
w4.2,W4-2M: Phonology,q4,phonology,"""Examine"": How many syllables?",three-choice,B
w4.2,W4-2M: Phonology,q5,phonology,"""Examine"": How many vowels?",three-choice,A
w4.2,W4-2M: Phonology,q6,phonology,"""Examine"": How many consonants?",three-choice,B
w4.2,W4-2M: Phonology,q7,phonology,About how many different vowel sounds does English have?,three-choice,C
w4.2,W4-2M: Phonology,q8,phonology,"Do you pronounce ""writer"" and ""rider"" the same? If not, what's different between the two?",free,
w4.3,W4-3M: Phonetics,q1,phonetics,[k__t],free,kite
w4.3,W4-3M: Phonetics,q2,phonetics,[k__ld],free,crawled
w4.3,W4-3M: Phonetics,q3,phonetics,[__t_],free,rich
w4.3,W4-3M: Phonetics,q4,phonetics,[klo__],free,clothe
w4.3,W4-3M: Phonetics,q5,phonetics,[b_ks],free,box
w4.3,W4-3M: Phonetics,q6,phonetics,[_ule_s],free,shoelace
w6.1,W6-1: Word learning,q1,learning,"Children learn the meanings of words by gradually strengthening the association between a certain sound and a certain thing in the world. Each time they hear a word paired with something they're seeing at the same time, the association gets stronger.",tf-scale,
w6.1,W6-1: Word learning,q2,learning,"Motherese (or ""baby talk"") is necessary to help infants learn their first language.",tf-scale,
w6.1,W6-1: Word learning,q3,learning,"Parents should avoid speaking to their babies in ""motherese"" or ""baby talk"", because it slows down language development.",tf-scale,
w6.1,W6-1: Word learning,q4,learning,Children need to learn a lot of words before they can learn anything about how to put words together in sentences.,tf-scale,
w6.1,W6-1: Word learning,q5,learning,Children take longer to learn complex inflectional systems (like verb conjugation in Italian) than simple ones (like verb conjugation in English).,tf-scale,
w6.1,W6-1: Word learning,q6,learning,1-year-olds can use sentence structure to guess the meaning of a new word.,tf-scale,
w9.1,W9-1: Crain & Thornton,q1,structure_dependence,What is structure dependence?,free,
w9.1,W9-1: Crain & Thornton,q2,structure_dependence,"If children only consider structure-dependent rules when learning the grammar of their language, how might they respond to the instruction, ""Ask Jabba if the boy who is watching Mickey Mouse is happy.""? Select all the possible responses.",select_all,AC
w9.1,W9-1: Crain & Thornton,q3,structure_dependence,"If children consider *any* rules, regardless of structure, when learning the grammar of their language, how might they respond to the instruction, ""Ask Jabba if the boy who is watching Mickey Mouse is happy.""? Select all the possible responses.",select_all,ABC
